date,warehouse_id,product_id,sales
2/28/2023,wid001,pid001,977
08-03-2024,wid002,pid002,432
8/26/2024,wid003,pid003,101
6/22/2023,wid004,pid004,146
7/26/2024,wid005,pid005,493
8/18/2023,wid006,pid006,185
2/23/2024,wid007,pid007,251
7/13/2024,wid008,pid008,994
06-07-2024,wid009,pid009,313
3/20/2024,wid010,pid010,419
6/17/2024,wid001,pid011,213
2/28/2023,wid002,pid012,801
2/14/2024,wid003,pid013,648
11-12-2023,wid004,pid014,630
11-05-2023,wid005,pid015,369
6/18/2023,wid006,pid016,301
8/29/2023,wid007,pid017,978
02-10-2023,wid008,pid018,103
9/16/2023,wid009,pid019,212
07-01-2024,wid010,pid020,47
02-09-2024,wid001,pid001,244
09-03-2023,wid002,pid002,486
10-10-2022,wid003,pid003,100
5/16/2024,wid004,pid004,782
3/15/2024,wid005,pid005,50
10/24/2022,wid006,pid006,650
12/22/2022,wid007,pid007,973
9/30/2022,wid008,pid008,289
02-06-2024,wid009,pid009,389
4/25/2024,wid010,pid010,104
09-11-2023,wid001,pid011,650
5/25/2023,wid002,pid012,583
7/13/2024,wid003,pid013,580
12/14/2022,wid004,pid014,960
08-03-2023,wid005,pid015,279
06-11-2023,wid006,pid016,606
11-02-2022,wid007,pid017,122
06-05-2024,wid008,pid018,461
12/23/2022,wid009,pid019,413
10/14/2022,wid010,pid020,229
11/29/2023,wid001,pid001,411
02-05-2023,wid002,pid002,448
2/15/2023,wid003,pid003,134
01-10-2024,wid004,pid004,110
06-02-2023,wid005,pid005,565
2/16/2023,wid006,pid006,654
01-02-2024,wid007,pid007,355
07-04-2024,wid008,pid008,173
2/25/2023,wid009,pid009,499
06-06-2024,wid010,pid010,916
09-09-2024,wid001,pid011,712
3/27/2024,wid002,pid012,1000
04-04-2024,wid003,pid013,211
01-05-2023,wid004,pid014,222
1/15/2023,wid005,pid015,205
03-12-2023,wid006,pid016,631
09-07-2023,wid007,pid017,814
1/25/2024,wid008,pid018,745
05-11-2023,wid009,pid019,993
4/27/2023,wid010,pid020,224
04-12-2024,wid001,pid001,492
7/24/2024,wid002,pid002,623
11-01-2023,wid003,pid003,401
11/20/2023,wid004,pid004,61
01-08-2024,wid005,pid005,271
9/14/2023,wid006,pid006,841
6/22/2024,wid007,pid007,594
01-03-2024,wid008,pid008,521
3/24/2024,wid009,pid009,697
10/25/2022,wid010,pid010,203
12-07-2022,wid001,pid011,744
11/18/2023,wid002,pid012,953
10-04-2023,wid003,pid013,714
5/20/2024,wid004,pid014,898
6/29/2023,wid005,pid015,958
5/26/2023,wid006,pid016,540
3/24/2023,wid007,pid017,861
04-05-2023,wid008,pid018,597
10/13/2022,wid009,pid019,999
5/23/2023,wid010,pid020,91
11/25/2022,wid001,pid001,917
11-08-2023,wid002,pid002,270
06-07-2023,wid003,pid003,18
6/14/2024,wid004,pid004,220
2/26/2024,wid005,pid005,398
7/14/2024,wid006,pid006,298
01-06-2023,wid007,pid007,861
05-03-2024,wid008,pid008,476
10/31/2022,wid009,pid009,65
08-11-2023,wid010,pid010,263
05-09-2024,wid001,pid011,616
9/22/2024,wid002,pid012,473
03-10-2023,wid003,pid013,966
3/23/2023,wid004,pid014,338
06-11-2024,wid005,pid015,826
4/28/2024,wid006,pid016,26
01-10-2023,wid007,pid017,901
12/29/2023,wid008,pid018,567
4/21/2024,wid009,pid019,896
