Date,Warehouse_ID,Product_ID,Sales
2023-01-01,1,1,225
2023-01-01,1,2,162
2023-01-01,1,3,113
2023-01-01,1,4,89
2023-01-01,2,1,158
2023-01-01,2,2,126
2023-01-01,2,3,85
2023-01-01,2,4,55
2023-01-02,1,1,158
2023-01-02,1,2,132
2023-01-02,1,3,104
2023-01-02,1,4,73
2023-01-02,2,1,137
2023-01-02,2,2,101
2023-01-02,2,3,64
2023-01-02,2,4,42
2023-01-03,1,1,156
2023-01-03,1,2,123
2023-01-03,1,3,99
2023-01-03,1,4,66
2023-01-03,2,1,117
2023-01-03,2,2,74
2023-01-03,2,3,54
2023-01-03,2,4,39
2023-01-04,1,1,158
2023-01-04,1,2,159
2023-01-04,1,3,78
2023-01-04,1,4,79
2023-01-04,2,1,131
2023-01-04,2,2,81
2023-01-04,2,3,52
2023-01-04,2,4,46
2023-01-05,1,1,177
2023-01-05,1,2,127
2023-01-05,1,3,91
2023-01-05,1,4,68
2023-01-05,2,1,107
2023-01-05,2,2,95
2023-01-05,2,3,60
2023-01-05,2,4,38
2023-01-06,1,1,216
2023-01-06,1,2,165
2023-01-06,1,3,86
2023-01-06,1,4,78
2023-01-06,2,1,119
2023-01-06,2,2,106
2023-01-06,2,3,64
2023-01-06,2,4,47
2023-01-07,1,1,264
2023-01-07,1,2,194
2023-01-07,1,3,139
2023-01-07,1,4,96
2023-01-07,2,1,175
2023-01-07,2,2,141
2023-01-07,2,3,67
2023-01-07,2,4,56
2023-01-08,1,1,397
2023-01-08,1,2,319
2023-01-08,1,3,203
2023-01-08,1,4,139
2023-01-08,2,1,224
2023-01-08,2,2,211
2023-01-08,2,3,127
2023-01-08,2,4,100
2023-01-09,1,1,327
2023-01-09,1,2,239
2023-01-09,1,3,141
2023-01-09,1,4,121
2023-01-09,2,1,185
2023-01-09,2,2,137
2023-01-09,2,3,108
2023-01-09,2,4,58
2023-01-10,1,1,315
2023-01-10,1,2,220
2023-01-10,1,3,155
2023-01-10,1,4,106
2023-01-10,2,1,200
2023-01-10,2,2,114
2023-01-10,2,3,91
2023-01-10,2,4,76
2023-01-11,1,1,271
2023-01-11,1,2,191
2023-01-11,1,3,150
2023-01-11,1,4,115
2023-01-11,2,1,213
2023-01-11,2,2,139
2023-01-11,2,3,75
2023-01-11,2,4,62
2023-01-12,1,1,275
2023-01-12,1,2,178
2023-01-12,1,3,118
2023-01-12,1,4,117
2023-01-12,2,1,220
2023-01-12,2,2,139
2023-01-12,2,3,98
2023-01-12,2,4,74
2023-01-13,1,1,262
2023-01-13,1,2,252
2023-01-13,1,3,155
2023-01-13,1,4,100
2023-01-13,2,1,227
2023-01-13,2,2,125
2023-01-13,2,3,104
2023-01-13,2,4,86
2023-01-14,1,1,409
2023-01-14,1,2,257
2023-01-14,1,3,157
2023-01-14,1,4,120
2023-01-14,2,1,268
2023-01-14,2,2,193
2023-01-14,2,3,120
2023-01-14,2,4,101
2023-01-15,1,1,383
2023-01-15,1,2,274
2023-01-15,1,3,191
2023-01-15,1,4,137
2023-01-15,2,1,264
2023-01-15,2,2,176
2023-01-15,2,3,139
2023-01-15,2,4,75
2023-01-16,1,1,271
2023-01-16,1,2,190
2023-01-16,1,3,119
2023-01-16,1,4,126
2023-01-16,2,1,185
2023-01-16,2,2,151
2023-01-16,2,3,83
2023-01-16,2,4,65
2023-01-17,1,1,294
2023-01-17,1,2,211
2023-01-17,1,3,151
2023-01-17,1,4,107
2023-01-17,2,1,211
2023-01-17,2,2,145
2023-01-17,2,3,105
2023-01-17,2,4,70
2023-01-18,1,1,251
2023-01-18,1,2,218
2023-01-18,1,3,116
2023-01-18,1,4,93
2023-01-18,2,1,178
2023-01-18,2,2,158
2023-01-18,2,3,88
2023-01-18,2,4,84
2023-01-19,1,1,267
2023-01-19,1,2,175
2023-01-19,1,3,128
2023-01-19,1,4,120
2023-01-19,2,1,154
2023-01-19,2,2,132
2023-01-19,2,3,94
2023-01-19,2,4,77
2023-01-20,1,1,251
2023-01-20,1,2,213
2023-01-20,1,3,136
2023-01-20,1,4,107
2023-01-20,2,1,178
2023-01-20,2,2,116
2023-01-20,2,3,83
2023-01-20,2,4,61
2023-01-21,1,1,405
2023-01-21,1,2,269
2023-01-21,1,3,206
2023-01-21,1,4,146
2023-01-21,2,1,233
2023-01-21,2,2,208
2023-01-21,2,3,113
2023-01-21,2,4,81
2023-01-22,1,1,403
2023-01-22,1,2,297
2023-01-22,1,3,200
2023-01-22,1,4,122
2023-01-22,2,1,216
2023-01-22,2,2,148
2023-01-22,2,3,130
2023-01-22,2,4,89
2023-01-23,1,1,252
2023-01-23,1,2,184
2023-01-23,1,3,122
2023-01-23,1,4,97
2023-01-23,2,1,204
2023-01-23,2,2,123
2023-01-23,2,3,98
2023-01-23,2,4,74
2023-01-24,1,1,289
2023-01-24,1,2,161
2023-01-24,1,3,160
2023-01-24,1,4,112
2023-01-24,2,1,188
2023-01-24,2,2,159
2023-01-24,2,3,78
2023-01-24,2,4,69
2023-01-25,1,1,282
2023-01-25,1,2,173
2023-01-25,1,3,134
2023-01-25,1,4,100
2023-01-25,2,1,147
2023-01-25,2,2,138
2023-01-25,2,3,77
2023-01-25,2,4,74
2023-01-26,1,1,275
2023-01-26,1,2,224
2023-01-26,1,3,110
2023-01-26,1,4,109
2023-01-26,2,1,159
2023-01-26,2,2,110
2023-01-26,2,3,84
2023-01-26,2,4,77
2023-01-27,1,1,286
2023-01-27,1,2,218
2023-01-27,1,3,108
2023-01-27,1,4,100
2023-01-27,2,1,171
2023-01-27,2,2,137
2023-01-27,2,3,89
2023-01-27,2,4,68
2023-01-28,1,1,358
2023-01-28,1,2,264
2023-01-28,1,3,153
2023-01-28,1,4,115
2023-01-28,2,1,256
2023-01-28,2,2,141
