ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,is_weekend,is_weekend_lower,is_weekend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,Warehouse_ID,Product_ID
2023-01-31,323.492,215.8025808356809,323.322282209894,323.492,323.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16261127634072647,-0.16261127634072647,-0.16261127634072647,-0.06970992953675509,-0.06970992953675509,-0.06970992953675509,-0.10324486680397141,-0.10324486680397141,-0.10324486680397141,0.0,0.0,0.0,270.88855299398574,1,1
2023-02-01,323.28781886227546,236.9664270730147,336.70157588666086,323.28781886227546,323.28781886227546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11040932459525585,-0.11040932459525585,-0.11040932459525585,-0.04222527546432054,-0.04222527546432054,-0.04222527546432054,-0.07852756913093531,-0.07852756913093531,-0.07852756913093531,0.0,0.0,0.0,287.5938291318182,1,1
2023-02-02,323.0836377245509,232.30915012167495,335.90110972963464,323.0836377245509,323.0836377245509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11417539959233237,-0.11417539959233237,-0.11417539959233237,-0.06869281000002882,-0.06869281000002882,-0.06869281000002882,-0.05582610959230355,-0.05582610959230355,-0.05582610959230355,0.0,0.0,0.0,286.1954342856059,1,1
2023-02-03,322.8794565868264,252.4341491265446,357.9167184937978,322.8794565868264,322.8794565868264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057491367059918724,-0.057491367059918724,-0.057491367059918724,-0.032343367049532445,-0.032343367049532445,-0.032343367049532445,-0.035491520010386274,-0.035491520010386274,-0.035491520010386274,0.0,0.0,0.0,304.3166752320861,1,1
2023-02-04,322.6752754491018,342.48475280889795,445.901353085686,322.6752754491018,322.6752754491018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0816865,0.0816865,0.0816865,0.0,0.0,0.0,0.0816865,0.0816865,0.0816865,0.22409913278695612,0.22409913278695612,0.22409913278695612,0.1498513141742895,0.1498513141742895,0.1498513141742895,-0.017782201387333413,-0.017782201387333413,-0.017782201387333413,0.0,0.0,0.0,394.98652484903766,1,1
2023-02-05,322.47109431137727,341.82838547077563,449.33634708571293,322.47109431137727,322.47109431137727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0816865,0.0816865,0.0816865,0.0,0.0,0.0,0.0816865,0.0816865,0.0816865,0.2226343487275591,0.2226343487275591,0.2226343487275591,0.1334655906503346,0.1334655906503346,0.1334655906503346,-0.002861261922775485,-0.002861261922775485,-0.002861261922775485,0.0,0.0,0.0,394.264236376854,1,1
2023-02-06,322.2669131736527,252.53249507394557,358.5974151880963,322.2669131736527,322.2669131736527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05079850686909053,-0.05079850686909053,-0.05079850686909053,-0.07034552277448662,-0.07034552277448662,-0.07034552277448662,0.009203495905396097,0.009203495905396097,0.009203495905396097,0.0,0.0,0.0,305.89623517112034,1,1
2023-02-07,322.06273203592815,254.79616369169554,362.4894634571501,322.06273203592815,322.06273203592815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04092940945036172,-0.04092940945036172,-0.04092940945036172,-0.06970992953698896,-0.06970992953698896,-0.06970992953698896,0.018437000086627242,0.018437000086627242,0.018437000086627242,0.0,0.0,0.0,308.8808946077275,1,1
2023-02-08,321.8585508982036,265.02910370343085,374.65677482342466,321.8585508982036,321.8585508982036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006929880260370074,-0.006929880260370074,-0.006929880260370074,-0.04222527546434411,-0.04222527546434411,-0.04222527546434411,0.02495187520397403,0.02495187520397403,0.02495187520397403,0.0,0.0,0.0,319.6281096797028,1,1
2023-02-09,321.6543697604791,257.6498553906958,362.8929177878915,321.6543697604791,321.6543697604791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034352,0.01034352,0.01034352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029408146273562488,-0.029408146273562488,-0.029408146273562488,-0.06869281000007757,-0.06869281000007757,-0.06869281000007757,0.02894114372651508,0.02894114372651508,0.02894114372651508,0.0,0.0,0.0,312.19511100503235,1,1
